"";"Ticker_ON_YAHOO";"CD_CVM";"CNPJ_CIA";"DT_REFER";"ON";"PN";"DENOM_SOCIAL";"DT_REG";"Ticker_ON";"Ticker_PN";"Ticker_UN";"a";"dataPreco";"price.close";"ref.date";"valorDeMercado"
"1";"AFLT3.SA";22179;"10.338.320/0001-00";2010-01-01;63084700;0;"AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A";2010-09-24;"AFLT3";NA;NA;2010-06-25;2010-06-25;14,2;2010-06-25;895802740
"2";"AMAR3.SA";22055;"61.189.288/0001-89";2010-01-01;184551230;0;"MARISA LOJAS SA";2010-06-14;"AMAR3";NA;NA;2010-06-25;2010-06-25;18,31818;2010-06-25;3380642650,3614
"3";"ATOM3.SA";15423;"00.359.742/0001-08";2010-01-01;88484914;0;"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.";1996-02-28;"ATOM3";NA;NA;2010-06-25;2010-06-25;4,38937;2010-06-25;388393026,96418
"4";"B3SA3.SA";21610;"09.346.601/0001-25";2010-01-01;2044014295;0;"B3 S.A. - BRASIL, BOLSA, BALCÃO";2008-08-11;"B3SA3";NA;NA;2010-06-25;2010-06-25;12,73;2010-06-25;26020301975,35
"5";"BBAS3.SA";1023;"00.000.000/0001-91";2010-01-01;2860729247;0;"BANCO DO BRASIL S.A.";1977-07-20;"BBAS3";NA;NA;2010-06-25;2010-06-25;27,1;2010-06-25;77525762593,7
"6";"BBRK3.SA";21180;"08.613.550/0001-98";2010-01-01;192839601;0;"BRASIL BROKERS PARTICIPAÇÕES SA";2007-10-26;"BBRK3";NA;NA;2010-06-25;2010-06-25;64,530167;2010-06-25;12443971656,7434
"7";"BEEF3.SA";20931;"67.620.377/0001-14";2010-01-01;105737017;0;"MINERVA S/A";2007-07-18;"BEEF3";NA;NA;2010-06-25;2010-06-25;6,97156;2010-06-25;737151958,23652
"8";"BMKS3.SA";1694;"56.992.423/0001-90";2010-01-01;454750;0;"BICICLETAS MONARK SA";1971-12-01;"BMKS3";NA;NA;2010-06-25;2010-06-25;440;2010-06-25;200090000
"9";"BRFS3.SA";16292;"01.838.723/0001-27";2010-01-01;872473246;0;"BRF S.A.";1997-06-24;"BRFS3";NA;NA;2010-06-25;2010-06-25;25,549999;2010-06-25;22291690562,8268
"10";"BRML3.SA";19909;"06.977.745/0001-91";2010-01-01;406277988;0;"BR MALLS PARTICIPAÇOES S.A.";2006-01-04;"BRML3";NA;NA;2010-06-25;2010-06-25;8,484949;2010-06-25;3447248008,00261
"11";"BTOW3.SA";20990;"00.776.574/0001-56";2010-01-01;113562867;0;"B2W - COMPANHIA DIGITAL";2007-07-26;"BTOW3";NA;NA;2010-06-25;2010-06-25;28,834764;2010-06-25;3274558469,10839
"12";"CARD3.SA";20044;"01.896.779/0001-38";2010-01-01;48571597;0;"CSU CARDSYSTEM S/A";2006-04-25;"CARD3";NA;NA;2010-06-25;2010-06-25;8,79;2010-06-25;426944337,63
"13";"CBEE3.SA";3050;"33.050.071/0001-58";2010-01-01;3922515918446;0;"AMPLA ENERGIA E SERVIÇOS S.A.";1969-08-15;"CBEE3";NA;NA;2010-06-25;2010-06-25;47,725079;2010-06-25;187202382086593
"14";"CCPR3.SA";21040;"08.801.621/0001-86";2010-01-01;86500000;0;"CYRELA COMMERCIAL PROPERTIES SA EMP  PART";2007-08-01;"CCPR3";NA;NA;2010-06-25;2010-06-25;10,1;2010-06-25;873650000
"15";"CCRO3.SA";18821;"02.846.056/0001-97";2010-01-01;441396800;0;"CCR S.A.";2000-12-19;"CCRO3";NA;NA;2010-06-25;2010-06-25;9,1775;2010-06-25;4050919132
"16";"CEGR3.SA";16616;"33.938.119/0001-69";2010-01-01;51927546473;0;"CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO";1997-11-17;"CEGR3";NA;NA;2010-06-25;2010-06-25;8,002;2010-06-25;415524226876,946
